Time, ground truth x, ground truth y, ground truth v, ground truth yaw 
5933333,24.6289,3.80747,8.9,-0.0083335
5966666,20.6497,0.000123981,2.58335,7.45058e-09
5966666,-5.10001,-4,0.0999966,0
5966666,24.9255,3.805,8.83334,-0.0083335
6000000,20.7358,0.000123981,2.51668,7.45058e-09
6000000,-5.09667,-4,0.199997,0
6000000,25.2199,3.80255,8.76667,-0.0083335
6033333,20.8197,0.000123982,2.45001,7.45058e-09
6033333,-5.09001,-4,0.299997,0
6033333,25.5122,3.80011,8.7,-0.0083335
6066666,20.9013,0.000123983,2.38335,7.45058e-09
6066666,-5.08001,-4,0.399997,0
6066666,25.8022,3.7977,8.63334,-0.0083335
6100000,20.9808,0.000123983,2.31668,7.45058e-09
6100000,-5.06667,-4,0.499997,0
6100000,26.0899,3.7953,8.56667,-0.0083335
6133333,21.058,0.000123984,2.25001,7.45058e-09
6133333,-5.05001,-4,0.599997,0
6133333,26.3755,3.79292,8.5,-0.0083335
6166666,21.133,0.000123984,2.18335,7.45058e-09
6166666,-5.03001,-4,0.699997,0
6166666,26.6588,3.79056,8.43334,-0.0083335
6200000,21.2058,0.000123985,2.11668,7.45058e-09
6200000,-5.00667,-4,0.799997,0
6200000,26.9399,3.78821,8.36667,-0.0083335
6233333,21.2763,0.000123985,2.05001,7.45058e-09
6233333,-4.98001,-4,0.899997,0
6233333,27.2188,3.78589,8.3,-0.0083335
6266666,21.3447,0.000123986,1.98335,7.45058e-09
6266666,-4.95001,-4,0.999997,0
6266666,27.4954,3.78358,8.23334,-0.0083335
6300000,21.4108,0.000123986,1.91668,7.45058e-09
6300000,-4.91668,-4,1.1,0
6300000,27.7699,3.7813,8.16667,-0.0083335
6333333,21.4747,0.000123987,1.85001,7.45058e-09
6333333,-4.88001,-4,1.2,0
6333333,28.0421,3.77903,8.10001,-0.0083335
6366666,21.5363,0.000123987,1.78335,7.45058e-09
6366666,-4.84001,-4,1.3,0
6366666,28.3121,3.77678,8.03334,-0.0083335
6400000,21.5958,0.000123988,1.71668,7.45058e-09
6400000,-4.79668,-4,1.4,0
6400000,28.5798,3.77455,7.96667,-0.0083335
6433333,21.653,0.000123988,1.65001,7.45058e-09
6433333,-4.75001,-4,1.5,0
6433333,28.8454,3.77233,7.90001,-0.0083335
6466666,21.708,0.000123989,1.58335,7.45058e-09
6466666,-4.70001,-4,1.6,0
6466666,29.1087,3.77014,7.83334,-0.0083335
6500000,21.7608,0.000123989,1.51668,7.45058e-09
6500000,-4.64668,-4,1.7,0
6500000,29.3698,3.76796,7.76667,-0.0083335
6533333,21.8113,0.000123989,1.45001,7.45058e-09
6533333,-4.59001,-4,1.8,0
6533333,29.6287,3.76581,7.70001,-0.0083335
6566666,21.8597,0.00012399,1.38335,7.45058e-09
6566666,-4.53001,-4,1.9,0
6566666,29.8853,3.76367,7.63334,-0.0083335
6600000,21.9058,0.00012399,1.31668,7.45058e-09
6600000,-4.46668,-4,2,0
6600000,30.1398,3.76155,7.56667,-0.0083335
6633333,21.9497,0.00012399,1.25001,7.45058e-09
6633333,-4.40001,-4,2.1,0
6633333,30.392,3.75945,7.50001,-0.0083335
6666666,21.9913,0.000123991,1.18335,7.45058e-09
6666666,-4.33001,-4,2.2,0
6666666,30.642,3.75736,7.43334,-0.0083335
6700000,22.0308,0.000123991,1.11668,7.45058e-09
6700000,-4.25668,-4,2.3,0
6700000,30.8898,3.7553,7.36667,-0.0083335
6733333,22.068,0.000123991,1.05001,7.45058e-09
6733333,-4.18001,-4,2.4,0
6733333,31.1353,3.75325,7.30001,-0.0083335
6766666,22.103,0.000123992,0.983347,7.45058e-09
6766666,-4.10001,-4,2.5,0
6766666,31.3786,3.75122,7.23334,-0.0083335
6800000,22.1358,0.000123992,0.916681,7.45058e-09
6800000,-4.01668,-4,2.6,0
6800000,31.6197,3.74921,7.16667,-0.0083335
6833333,22.1663,0.000123992,0.850014,7.45058e-09
6833333,-3.93001,-4,2.7,0
6833333,31.8586,3.74722,7.10001,-0.0083335
6866666,22.1947,0.000123992,0.783347,7.45058e-09
6866666,-3.84001,-4,2.8,0
6866666,32.0953,3.74525,7.03334,-0.0083335
6900000,22.2208,0.000123992,0.716681,7.45058e-09
6900000,-3.74668,-4,2.9,0
6900000,32.3297,3.7433,6.96667,-0.0083335
6933333,22.2447,0.000123993,0.650014,7.45058e-09
6933333,-3.65001,-4,3,0
6933333,32.5619,3.74136,6.90001,-0.0083335
6966666,22.2663,0.000123993,0.583347,7.45058e-09
6966666,-3.55001,-4,3.1,0
6966666,32.7919,3.73944,6.83334,-0.0083335
